count,max,warehouse_id,dst_office_id,office_name,pickup_latitude,pickup_longitude
224,2023-04-24,507,102571,МО Талдом Советская 23,56.72305,37.53797
714,2023-04-24,507,2254,МСК Минская 12,55.736483,37.487326
332,2023-04-24,507,108964,МСК Маршала Конева 5,55.79833,37.491005
492,2023-04-24,507,150041,МСК Каширское шоссе 65к1,55.60121,37.725096
347,2023-04-24,507,2723,МСК Загорьевская 25,55.58352539,37.69469526
454,2023-04-24,507,2859,МО Воскресенск Андреса 8,55.340555,38.722193
217,2023-04-24,507,5617,Балашиха Центральная 8,55.74995724,37.96085474
385,2023-04-24,507,103195,МСК Севастопольский пр-кт 1к3,55.69379594,37.61208731
348,2023-04-24,507,110829,МСК Суздальская 16к1,55.740388,37.848028
179,2023-04-24,507,202468,МО Можайск Дмитрия Пожарского 1,55.498199,36.038298
257,2023-04-24,507,108543,МО д Щемилово Орлова 8,55.804699,38.081235
300,2023-04-24,507,113375,МО рп Новоивановское Агрохимиков 2Б,55.705074,37.366468
787,2023-04-24,507,117246,МСК Новокосинская 38к2,55.74188,37.870239
642,2023-04-24,507,3815,МО Раменское Молодёжная 28А,55.59462279,38.25330911
528,2023-04-24,507,1665,МСК Истринская 8к3,55.735745,37.432643
868,2023-04-24,507,110280,МО Истра 9-й Гвардейской Дивизии 54,55.911055,36.871632
398,2023-04-24,507,158617,Химки 8 Марта 8А,55.905608,37.453495
398,2023-04-24,507,103624,МО Бронницы Советская 69,55.425118,38.267188
564,2023-04-24,507,112878,МСК Краснобогатырская 90с1,55.799708,37.71222
256,2023-04-24,507,110625,МО Балашиха Гагарина 29,55.826279,37.924474
302,2023-04-24,507,5588,МО с Павловская Слобода Луначарского 13,55.81536,37.08839
393,2023-04-24,507,5740,Химки Энгельса 27,55.89292,37.436086
937,2023-04-24,507,2906,МО Раменское Десантная 17,55.5665172,38.19936583
148,2023-04-24,507,4156,МО Егорьевск Меланжистов 3Б,55.3858871,39.02393283
597,2023-04-24,507,103377,МСК Островитянова 43,55.633232,37.537927
107,2023-04-24,507,2773,МО Балашиха Советская 21,55.80411481,37.9359502
707,2023-04-24,507,2255,МСК Новопесчаная 13к4,55.79869418,37.51688771
382,2023-04-24,507,5031,МО Сергиев Посад Вознесенская 53А,56.30368973,38.13508158
976,2023-04-24,507,3359,МСК 1-я Машиностроения 10,55.714236,37.670565
376,2023-04-24,507,102531,МСК Святоозёрская 21,55.712837,37.896929
429,2023-04-24,507,108474,Подольск Свердлова 46,55.418035,37.531807
876,2023-04-24,507,3931,МСК Фестивальная 41к4,55.860269,37.4815
697,2023-04-24,507,5602,МСК Раменки 8к2,55.69218726,37.49092042
427,2023-04-24,507,103713,МСК Малая Калитниковская 20к2,55.733486,37.682596
144,2023-04-24,507,111547,МО Одинцово Комсомольская 8,55.666304,37.285295
572,2023-04-24,507,112683,МО Раменское Дергаевская 18,55.578864,38.248058
745,2023-04-24,507,113270,МО пос Мечниково 27,55.748382,37.16013
410,2023-04-24,507,2834,МСК Лодочная 29с1,55.8378882,37.46367525
880,2023-04-24,507,117372,МСК Славянский бульвар 9к5,55.725568,37.468412
441,2023-04-24,507,109314,МСК Мартеновская 3,55.759614,37.806177
603,2023-04-24,507,2500,МСК Нагорная 15к1-2,55.67984939,37.60693089
782,2023-04-24,507,108073,МО Домодедово Кирова 15к1,55.43505,37.75218
247,2023-04-24,507,2915,Подольск Советская 41/5,55.43402357,37.55176122
581,2023-04-24,507,2993,МСК Милютинский пер 3,55.76156906,37.63133068
783,2023-04-24,507,106775,МСК Россошанская 2к1,55.594251,37.605948
463,2023-04-24,507,205450,"Москва, Москва, Липецкая улица, 22",55.59308,37.671876
1005,2023-04-24,507,2753,МСК Черняховского 15к1,55.80697411,37.53737976
205,2023-04-24,507,2982,МО Егорьевск 2-й мкр 41А,55.36597078,39.05873641
753,2023-04-24,507,108180,МСК бульвар Генерала Карбышева 13А,55.781226,37.468921
1025,2023-04-24,507,3906,МСК Донецкая 23с2,55.6473,37.715534
